"row","col","results22","results23","results24","results25","results32","results33","results34","results35","results42","results43","results44","results45","results52","results53","results54","results55"
23,0.4,0.444910233008465,0.329726725086706,0.263056406628334,0.216349175247268,0.329726725086706,0.22072447247268,0.161536944461726,0.121550433149155,0.263056406628334,0.161536944461726,0.108365708307456,0.0718412036342218,0.216349175247268,0.121550433149155,0.0718412036342218,0
24,0.4,0.462356209435584,0.345463816080315,0.277232107840436,0.229280836796803,0.345463816080315,0.233409754628413,0.172173623852754,0.130829364312301,0.277232107840436,0.172173623852754,0.117013085464806,0.0795286436682804,0.229280836796803,0.130829364312301,0.0795286436682804,0
25,0.4,0.479449494316711,0.361066750265377,0.291369892027528,0.242215732920465,0.361066750265377,0.246121182569074,0.18287267319655,0.140157920529365,0.291369892027528,0.18287267319655,0.125706092560905,0.087173707398311,0.242215732920465,0.140157920529365,0.087173707398311,0
26,0.4,0.496185353860435,0.376525232731554,0.305461521182343,0.255149932081912,0.376525232731554,0.258851556500979,0.193632979643809,0.149542417631678,0.305461521182343,0.193632979643809,0.134453573468508,0.0947971502570367,0.255149932081912,0.149542417631678,0.0947971502570367,0.0561490277645338
27,0.4,0.512559854343919,0.391829213715807,0.319498287811545,0.26807828674673,0.391829213715807,0.271593051395626,0.204452080082357,0.15898683281562,0.319498287811545,0.204452080082357,0.143261645944022,0.102421357988637,0.26807828674673,0.15898683281562,0.102421357988637,0.0630245339629476
28,0.4,0.528569872367019,0.406969008142441,0.333471227816735,0.280994757952476,0.406969008142441,0.28433741895789,0.21532644572289,0.168493255456434,0.333471227816735,0.21532644572289,0.152134225425113,0.11006450291071,0.280994757952476,0.168493255456434,0.11006450291071,0.0699966272444985
29,0.4,0.544213093213884,0.421935381522898,0.347371290955745,0.293892669528945,0.421935381522898,0.297076147068295,0.226251712355648,0.178062251201233,0.347371290955745,0.226251712355648,0.161073470009946,0.117740342180282,0.293892669528945,0.178062251201233,0.117740342180282,0.0768908741438806
30,0.4,0.559487992161124,0.436719609989121,0.361189468755195,0.306764907061091,0.436719609989121,0.309800585308464,0.237222866105313,0.187693163029021,0.361189468755195,0.237222866105313,0.170080131691459,0.125459006696743,0.306764907061091,0.187693163029021,0.125459006696743,0.0837107768765151
31,0.4,0.574393807061075,0.451313520733597,0.374916893592254,0.319604079766188,0.451313520733597,0.322502048903274,0.248234392911437,0.197384349079549,0.374916893592254,0.248234392911437,0.17915383379665,0.133227794480033,0.319604079766188,0.197384349079549,0.133227794480033,0.0904853987379274
32,0.4,0.588930504516437,0.465709517496428,0.388544914884129,0.332402640592576,0.465709517496428,0.335171894438402,0.259280403943396,0.207133374085491,0.388544914884129,0.259280403943396,0.188293289848795,0.141051814129651,0.332402640592576,0.207133374085491,0.141051814129651,0.0972413560352521
33,0.4,0.603098741839219,0.479900594570671,0.40206515741126,0.345152989583676,0.479900594570671,0.347801587098956,0.270354731156558,0.216937163755284,0.40206515741126,0.270354731156558,0.197496476212618,0.148934468894902,0.345152989583676,0.216937163755284,0.148934468894902,0.103999294159417
34,0.4,0.616899826411124,0.493880341950383,0.415469565579565,0.357847552971295,0.493880341950383,0.36038275148911,0.281451012290243,0.226792129261517,0.415469565579565,0.281451012290243,0.206760775272891,0.15687782003348,0.357847552971295,0.226792129261517,0.15687782003348,0.110774632466117
35,0.4,0.630335673642938,0.507642942759685,0.428750436529142,0.370478847115,0.507642942759685,0.372907212832042,0.292562758228632,0.236694272991527,0.428750436529142,0.292562758228632,0.216083082199074,0.164882859795836,0.370478847115,0.236694272991527,0.164882859795836,0.117578784234178
36,0.4,0.643408764422628,0.521183169523757,0.441900444331164,0.38303952967244,0.521183169523757,0.385367029806655,0.303683409547421,0.246639268592744,0.441900444331164,0.303683409547421,0.225459900233464,0.172949723449052,0.38303952967244,0.246639268592744,0.172949723449052,0.124420164063832
37,0.4,0.656122102712776,0.534496368378917,0.454912656030164,0.39552244047176,0.534496368378917,0.397754520547076,0.314806383745258,0.256622533999231,0.454912656030164,0.314806383745258,0.234887415421011,0.18107784623704,0.39552244047176,0.256622533999231,0.18107784623704,0.131304932892993
38,0.4,0.66847917378652,0.547578447775785,0.467780546606645,0.407920634017103,0.547578447775785,0.410062283011164,0.32592511484995,0.266639289510913,0.467780546606645,0.32592511484995,0.244361559402164,0.189266092731764,0.407920634017103,0.266639289510913,0.189266092731764,0.138237534356666
39,0.4,0.680483903461772,0.560425861091245,0.48049800018025,0.420227405147932,0.560425861091245,0.422283210679268,0.337033086734515,0.276684607274012,0.48049800018025,0.337033086734515,0.253878062035109,0.197512856794064,0.420227405147932,0.276684607274012,0.197512856794064,0.145221086560161
40,0.4,0.692140618594907,0.573035588138641,0.49305931605356,0.432436308203018,0.573035588138641,0.434410504355512,0.348123861204193,0.286753453222859,0.49305931605356,0.348123861204193,0.263432495843164,0.205816142613783,0.432436308203018,0.286753453222859,0.205816142613783,0.152257661701366
41,0.4,0.703454009019539,0.585405115344787,0.505459207427292,0.444541175605892,0.585405115344787,0.446437679746421,0.3591911007314,0.296840722836086,0.505459207427292,0.3591911007314,0.273020312820504,0.214173630794435,0.444541175605892,0.296840722836086,0.214173630794435,0.159348500292323
42,0.4,0.714429090218617,0.597532414980152,0.517692798339074,0.456536124699854,0.597532414980152,0.45835857682957,0.370228592125781,0.306941271776262,0.517692798339074,0.370228592125781,0.282636880605957,0.222582732867333,0.456536124699854,0.306941271776262,0.222582732867333,0.166494170198883
43,0.4,0.725071171721282,0.609415923755739,0.529755618484283,0.468415568867007,0.609415923755739,0.470167358153616,0.381230258209279,0.317049941391364,0.529755618484283,0.381230258209279,0.292277505049112,0.231040635813247,0.468415568867007,0.317049941391364,0.231040635813247,0.173694689344888
